Timestamp,Class Name,Confidence,"Bounding Box (x1, y1, x2, y2)","Center (x, y)",Depth (mm)
2024-07-28 06:49:09,73,0.52,"(202, 209), (250, 299)","(226, 254)",1430
2024-07-28 06:49:10,73,0.54,"(504, 311), (544, 436)","(524, 373)",969
2024-07-28 06:49:10,73,0.51,"(250, 190), (294, 284)","(272, 237)",1440
2024-07-28 06:49:10,73,0.62,"(524, 297), (557, 416)","(540, 356)",874
2024-07-28 06:49:10,73,0.50,"(455, 113), (490, 226)","(472, 169)",1240
2024-07-28 06:49:10,73,0.56,"(533, 286), (564, 408)","(548, 347)",874
2024-07-28 06:49:10,73,0.53,"(528, 290), (560, 409)","(544, 349)",870
2024-07-28 06:49:11,73,0.55,"(458, 213), (495, 285)","(476, 249)",1215
2024-07-28 06:49:11,73,0.54,"(423, 360), (459, 479)","(441, 419)",1057
2024-07-28 06:49:12,73,0.51,"(352, 344), (379, 462)","(365, 403)",1087
2024-07-28 06:49:13,73,0.51,"(362, 307), (387, 419)","(374, 363)",1070
2024-07-28 06:49:14,73,0.51,"(376, 348), (402, 465)","(389, 406)",1074
2024-07-28 06:49:16,73,0.55,"(475, 265), (504, 379)","(489, 322)",980
2024-07-28 06:49:16,73,0.61,"(484, 228), (518, 342)","(501, 285)",1014
2024-07-28 06:49:16,73,0.65,"(476, 226), (516, 337)","(496, 281)",1012
2024-07-28 06:49:16,73,0.54,"(538, 85), (568, 161)","(553, 123)",1284
2024-07-28 06:49:17,73,0.57,"(408, 216), (444, 326)","(426, 271)",1100
2024-07-28 06:49:17,73,0.53,"(234, 72), (279, 163)","(256, 117)",1522
2024-07-28 06:49:17,73,0.57,"(561, 78), (596, 156)","(578, 117)",1232
2024-07-28 06:49:18,73,0.52,"(478, 193), (501, 304)","(489, 248)",1102
2024-07-28 06:49:21,73,0.53,"(344, 362), (417, 480)","(380, 421)",951
2024-07-28 06:49:22,73,0.51,"(332, 265), (370, 339)","(351, 302)",1247
2024-07-28 06:49:23,73,0.58,"(345, 215), (380, 287)","(362, 251)",1357
2024-07-28 06:49:23,73,0.51,"(327, 213), (353, 289)","(340, 251)",1325
2024-07-28 06:49:23,73,0.55,"(341, 215), (381, 287)","(361, 251)",1357
2024-07-28 06:49:23,73,0.51,"(344, 211), (381, 284)","(362, 247)",1360
2024-07-28 06:49:25,73,0.51,"(387, 177), (423, 249)","(405, 213)",1360
2024-07-28 06:49:26,73,0.55,"(395, 170), (432, 243)","(413, 206)",1351
2024-07-28 06:49:26,73,0.61,"(384, 175), (420, 247)","(402, 211)",1363
2024-07-28 06:49:26,73,0.55,"(378, 179), (414, 251)","(396, 215)",1366
2024-07-28 06:49:28,73,0.51,"(373, 180), (411, 251)","(392, 215)",1376
2024-07-28 06:49:28,73,0.52,"(359, 275), (640, 440)","(499, 357)",1160
2024-07-28 06:49:28,73,0.54,"(390, 165), (427, 236)","(408, 200)",1360
2024-07-28 06:49:29,73,0.51,"(534, 310), (636, 411)","(585, 360)",1225
2024-07-28 06:49:29,73,0.51,"(491, 307), (566, 414)","(528, 360)",1129
2024-07-28 06:49:31,15,0.71,"(3, 0), (635, 479)","(319, 239)",600
